map[MonsterAttackDamage:10 MonsterHealth:100 PlayerAttackDamage:0 PlayerChoice:HEAL PlayerHealValue:12 PlayerHealth:90 Round No:1]
map[MonsterAttackDamage:6 MonsterHealth:91 PlayerAttackDamage:9 PlayerChoice:ATTACK PlayerHealValue:0 PlayerHealth:84 Round No:2]
map[MonsterAttackDamage:8 MonsterHealth:77 PlayerAttackDamage:14 PlayerChoice:SPECIAL_ATTACK PlayerHealValue:0 PlayerHealth:76 Round No:3]
map[MonsterAttackDamage:7 MonsterHealth:68 PlayerAttackDamage:9 PlayerChoice:ATTACK PlayerHealValue:0 PlayerHealth:69 Round No:4]
map[MonsterAttackDamage:13 MonsterHealth:62 PlayerAttackDamage:6 PlayerChoice:ATTACK PlayerHealValue:0 PlayerHealth:56 Round No:5]
map[MonsterAttackDamage:11 MonsterHealth:50 PlayerAttackDamage:12 PlayerChoice:SPECIAL_ATTACK PlayerHealValue:0 PlayerHealth:45 Round No:6]
map[MonsterAttackDamage:12 MonsterHealth:42 PlayerAttackDamage:8 PlayerChoice:ATTACK PlayerHealValue:0 PlayerHealth:33 Round No:7]
map[MonsterAttackDamage:10 MonsterHealth:33 PlayerAttackDamage:9 PlayerChoice:ATTACK PlayerHealValue:0 PlayerHealth:23 Round No:8]
map[MonsterAttackDamage:8 MonsterHealth:21 PlayerAttackDamage:12 PlayerChoice:SPECIAL_ATTACK PlayerHealValue:0 PlayerHealth:15 Round No:9]
map[MonsterAttackDamage:12 MonsterHealth:16 PlayerAttackDamage:5 PlayerChoice:ATTACK PlayerHealValue:0 PlayerHealth:3 Round No:10]
map[MonsterAttackDamage:11 MonsterHealth:8 PlayerAttackDamage:8 PlayerChoice:ATTACK PlayerHealValue:0 PlayerHealth:0 Round No:11]
